id,type_de_bien,année,nb_de_pieces,surface,ville,prix
605,appartement,1965,5,138, BORDEAUX,735000
606,maison,1990,5,145, VILLENAVE D ORNON,295400
607,maison,1987,3,69, SOULAC SUR MER,274700
608,maison,4,2,90, MONGAUZY,135000
609,appartement,2019,3,90, EYSINES,475000
610,appartement,2021,4,84, BORDEAUX,610000
611,maison,3,2,80, CENON,265500
612,maison,5,3,134, ST ANDRE DE CUBZAC,349500
613,maison,5,4,128, GUJAN MESTRAS,435000
614,maison,5,4,112, LE BOUSCAT,579000
615,maison,6,4,174, ROMAGNE,485000
616,maison,6,4,156, BORDEAUX,787500
617,appartement,1930,4,134, ARCACHON,610000
618,maison,7,3,160, POMEROL,207000
619,appartement,2,1,56, BORDEAUX,316000
620,maison,1979,6,130, BORDEAUX,570000
621,maison,18,11,400, ST EMILION,424000
622,maison,10,1,180, LA REOLE,112000
623,maison,14,6,402, LANGON,244500
624,maison,1999,4,118, LEOGNAN,435000
625,maison,1992,4,90, SALLES,165000
626,maison,1900,4,104, BORDEAUX,382000
627,appartement,2,1,44, LANGON,77000
628,maison,4,2,68, BORDEAUX,405000
629,maison,8,5,191, LA REOLE,188000
630,appartement,4,3,85, BIGANOS,292400
631,appartement,3,2,65, BIGANOS,229700
632,maison,5,4,110, ST MAGNE,299675
633,appartement,2017,5,87, PAREMPUYRE,268000
634,appartement,1900,3,72, ARCACHON,500000
635,appartement,1750,4,94, BORDEAUX,450000
636,appartement,1900,3,50, BORDEAUX,299000
637,maison,1980,6,150, LACANAU OCEAN                   ,470000
638,maison,4,3,80, LANGON,189500
639,maison,6,4,184, BLANQUEFORT,966000
640,maison,8,5,230, SALLES,613300
641,maison,1985,4,112, TALAIS,259400
642,maison,4,3,86, CENON,291500
643,maison,4,3,90, ARCACHON,579000
644,maison,5,3,105, SALLES,318000
645,maison,1820,11,450, BELIN BELIET,892000
646,maison,6,3,140, SALLES,149500
647,maison,5,2,120, LANGON,153000
648,maison,2014,5,154, LEOGNAN,593700
649,maison,2011,4,90, BRANNE,182000
650,maison,2006,4,80, ST SEURIN SUR L ISLE,139000
651,appartement,3,1,43, FLOIRAC,141500
652,appartement,3,2,73, BORDEAUX,307000
653,appartement,5,3,140, BORDEAUX,504000
654,appartement,2019,4,93, BORDEAUX,355000
655,maison,1920,5,110, BORDEAUX,718000
656,appartement,4,2,83, BORDEAUX,450500
657,maison,2017,4,95, LA TESTE DE BUCH,439000
658,maison,2,1,136, BOURG,95000
659,appartement,5,3,137, ARCACHON,1030000
660,maison,6,4,150, COUTRAS,181500
661,maison,1880,10,395, BORDEAUX,1890000
662,appartement,2014,2,55, BORDEAUX,254700
663,maison,2019,4,87, ANDERNOS LES BAINS,315900
664,maison,1900,6,250, BRANNE,349000
665,maison,1900,6,250, BRANNE,349000
666,maison,2002,6,165, SALLES,510400
667,maison,2018,4,102, VILLENAVE D ORNON,381000
668,maison,5,4,170, LAGORCE,76000
669,maison,2012,4,95, BELIN BELIET,328650
670,maison,2012,5,169, BIGANOS,315000
671,appartement,1,1,23, BORDEAUX,121000
672,maison,1900,5,131, BORDEAUX,735000
673,maison,5,3,169, ST MARTIN LACAUSSADE,181000
674,maison,1990,8,300, MERIGNAC,955000
675,maison,9,5,345, CIVRAC DE BLAYE,435000
676,maison,1960,6,151, LESPARRE MEDOC,203300
677,appartement,2,1,37, MARCHEPRIME,129580
678,appartement,4,2,70, BORDEAUX,324500
679,maison,9,4,282, LUDON MEDOC,819000
680,maison,6,5,155, ST ANDRE DE CUBZAC,417500
681,maison,5,3,133, BIGANOS,496500
682,appartement,3,2,63, BORDEAUX,259000
683,appartement,2019,3,68, BORDEAUX,310000
684,appartement,2019,4,193, BORDEAUX,1400000
685,appartement,2020,4,75, GRADIGNAN,335000
686,appartement,2020,3,61, EYSINES,389000
687,appartement,2019,3,68, BORDEAUX,460000
688,appartement,2020,4,76, PESSAC,420000
689,appartement,2018,2,46, BORDEAUX,220000
690,appartement,2021,2,49, BORDEAUX,271500
691,appartement,2021,4,101, BORDEAUX,493500
692,appartement,2019,2,47, MERIGNAC,202000
693,appartement,2019,4,113, MERIGNAC,472000
694,appartement,2020,4,109, ST AUBIN DE MEDOC,432378
695,appartement,2020,4,109, VILLENAVE D ORNON,440000
696,maison,2020,4,86, BRUGES,320000
697,maison,2001,7,203, LUDON MEDOC,650000
698,maison,1948,5,142, TALAIS,181000
699,maison,2019,5,85, BORDEAUX,485000
700,maison,4,3,74, LIBOURNE,171000
701,maison,3,1,40, ST ANDRE DE CUBZAC,168000
702,appartement,2011,3,66, SOULAC SUR MER,162750
703,appartement,3,2,64, BEGLES,263600
704,maison,1969,5,96, ARCACHON,945000
705,maison,9,5,192, BARSAC,229000
706,maison,1900,7,140, BORDEAUX,735000
707,maison,4,3,95, GUILLAC,233000
708,maison,10,4,328, PELLEGRUE,475000
709,appartement,3,2,63, PAREMPUYRE,174900
710,maison,2005,5,152, SALLES,369000
711,maison,4,3,122, BORDEAUX,556500
712,maison,2009,4,75, GUJAN MESTRAS,525000
713,maison,1850,8,345, ST ANDRE DE CUBZAC,340000
714,maison,1920,9,280, ST MEDARD DE GUIZIERES,288500
715,maison,2002,4,93, LESPARRE MEDOC,193000
716,maison,2015,4,80, LESPARRE MEDOC,223700
717,maison,8,5,289, LANGON,548500
718,maison,5,3,163, IZON,484500
719,maison,1880,12,340, ARCACHON,3280000
720,maison,2009,5,141, ST SULPICE ET CAMEYRAC,527000
721,maison,2000,6,153, ARES,678000
722,appartement,3,2,96, LIBOURNE,212500
723,appartement,3,2,43, BORDEAUX,299000
724,maison,1780,6,230, BRUGES,1066000
725,maison,2003,5,132, LACANAU OCEAN                   ,755000
726,maison,8,4,250, BLAYE,397000
727,maison,5,3,123, MERIGNAC,651000
728,maison,4,3,124, CREON,328500
729,appartement,2,1,30, HOURTIN,65000
730,maison,1954,3,75, AMBARES ET LAGRAVE,299000
731,maison,1949,5,245, ST LAURENT DU BOIS,275000
732,maison,3,2,84, LA TESTE DE BUCH,265500
733,appartement,2020,2,46, GUJAN MESTRAS,212000
734,appartement,2020,4,100, GUJAN MESTRAS,401000
735,appartement,1970,3,89, BORDEAUX,388000
736,appartement,2,1,45, BORDEAUX,199500
737,appartement,2,1,45, LA TESTE DE BUCH,203000
738,maison,10,8,380, BORDEAUX,1272000
739,maison,2008,4,91, LEOGNAN,267900
740,maison,1920,8,184, BORDEAUX,1082000
741,maison,1930,7,145, BORDEAUX,599000
742,maison,1974,4,108, GAILLAN EN MEDOC,165000
743,appartement,7,4,158, BORDEAUX,572000
744,maison,1968,4,106, MERIGNAC,273000
745,maison,1850,7,200, LANGON,139000
746,maison,1940,6,120, LANGON,264000
747,maison,1979,6,228, LA TESTE DE BUCH,699500
748,appartement,3,1,97, BORDEAUX,472000
749,maison,2005,5,138, SALLES,330000
750,appartement,1900,1,38, BORDEAUX,197950
751,appartement,1900,6,193, BORDEAUX,1155000
752,maison,1982,5,161, ARES,530000
753,appartement,2,1,119, AMBARES ET LAGRAVE,202000
754,maison,7,3,190, FOSSES ET BALEYSSAC,275000
755,maison,2,1,63, ST GERMAIN DU PUCH,93500
756,appartement,2,1,42, PESSAC,173000
757,appartement,1960,3,65, BORDEAUX,220000
758,maison,1949,8,260, BRANNE,311000
759,maison,1970,6,175, LIBOURNE,585000
760,appartement,1,1,23, SOULAC SUR MER,87000
761,maison,6,4,300, LUGASSON,349000
762,appartement,1920,1,29, SOULAC SUR MER,89040
763,maison,2011,6,160, PUYBARBAN,247000
764,maison,1900,8,360, BORDEAUX,1312500
765,maison,6,4,215, LEGE CAP FERRET,570000
766,appartement,1900,1,39, BORDEAUX,200000
767,maison,1970,4,102, LEGE CAP FERRET,976500
768,appartement,1998,3,71, LA TESTE DE BUCH,290000
769,maison,1960,4,116, VENSAC,161500
770,maison,1944,4,82, VENDAYS MONTALIVET,172200
771,maison,1960,8,245, ARCACHON,1463000
772,appartement,1989,2,47, BORDEAUX,245500
773,maison,1830,8,115, TALENCE,371000
774,maison,1980,5,110, ETAULIERS,127200
775,maison,4,3,130, MARCILLAC,65000
776,appartement,1,1,30, GRADIGNAN,102000
777,appartement,4,3,91, BORDEAUX,375000
778,appartement,2004,3,70, BORDEAUX,292600
779,maison,1900,5,220, LIBOURNE,250000
780,maison,4,3,85, MERIGNAC,460000
781,maison,5,3,180, BLAYE,225000
782,maison,4,3,100, ST ANDRE DE CUBZAC,265500
783,appartement,4,2,58, CENON,275500
784,maison,1970,3,77, BORDEAUX,267500
785,appartement,1980,2,30, HOURTIN,159000
786,maison,2016,6,156, BEYCHAC ET CAILLAU,495000
787,maison,15,9,650, ARCACHON,5950000
788,appartement,3,2,65, LARUSCADE,115500
789,maison,11,6,315, GAURIAC,525000
790,maison,1800,4,105, BLAYE,220000
791,maison,3,2,519, ST ANDRE DE CUBZAC,219000
792,maison,15,13,300, PLASSAC,185000
793,maison,5,3,150, PLASSAC,200000
794,maison,4,3,131, BORDEAUX,424500
795,appartement,5,3,101, AUDENGE,287000
796,appartement,2,1,35, ANDERNOS LES BAINS,241500
797,appartement,5,4,128, BORDEAUX,699000
798,appartement,4,3,80, BORDEAUX,425000
799,appartement,4,3,80, BORDEAUX,450000
800,maison,6,4,146, ST MEDARD EN JALLES,400000
801,maison,5,3,135, ST MEDARD EN JALLES,433500
802,maison,9,6,255, LA TESTE DE BUCH,630000
803,appartement,4,3,99, TALENCE,560000
804,appartement,3,2,63, TALENCE,350000
805,appartement,2016,4,80, BLANQUEFORT,299000
806,maison,5,4,137, ST JEAN DE BLAIGNAC,249000
807,maison,5,6,108, CARS,181000
808,maison,6,3,162, ETAULIERS,233500
809,maison,1934,3,75, MERIGNAC,339625
810,maison,2009,3,64, SAUCATS,195000
811,maison,25,29,1000, BLAYE,2650000
812,maison,25,29,1000, BORDEAUX,2650000
813,appartement,4,3,112, BRUGES,420000
814,maison,1950,4,102, GAILLAN EN MEDOC,140000
815,appartement,4,2,105, BORDEAUX,590000
816,maison,3,2,200, BORDEAUX,209000
817,maison,2009,6,165, BRUGES,798000
818,maison,6,4,156, LANTON,454500
819,maison,1974,7,152, LACANAU,498000
820,maison,1890,5,170, ST ANDRE DE CUBZAC,265000
821,appartement,1980,2,30, SOULAC SUR MER,82680
822,appartement,2012,3,70, SOULAC SUR MER,231000
823,appartement,2012,3,70, SOULAC SUR MER,210000
824,maison,12,6,280, CESTAS,1265000
825,maison,6,3,168, LIBOURNE,381000
826,appartement,3,2,74, LE BOUSCAT,370000
827,maison,1900,4,150, ARCACHON,795000
828,maison,2014,5,94, BORDEAUX,360000
829,maison,1930,7,180, BORDEAUX,899000
830,maison,1988,6,160, LE BOUSCAT,695000
831,maison,14,9,490, BORDEAUX,1190000
832,maison,9,5,205, LANGON,278000
833,maison,1850,6,200, LIBOURNE,335000
834,maison,8,2,126, LA TESTE DE BUCH,330000
835,appartement,2019,2,45, BORDEAUX,199000
836,maison,2005,5,139, BELIN BELIET,365000
837,maison,1900,5,107, CASTILLON LA BATAILLE,155000
838,maison,5,4,100, LEGE CAP FERRET,962000
839,maison,1980,2,30, LACANAU OCEAN                   ,175000
840,maison,1900,5,100, BLAYE,84000
841,appartement,1974,3,75, BORDEAUX,274000
842,maison,2009,7,260, ARSAC,640000
843,appartement,2,1,48, PESSAC,234000
844,appartement,4,3,91, BORDEAUX,639000
845,appartement,3,2,90, BORDEAUX,445000
846,appartement,3,2,66, BEGLES,288000
847,maison,1900,7,200, BORDEAUX,588000
848,appartement,2019,2,48, PESSAC,230000
849,appartement,2019,4,90, PESSAC,390000
850,maison,1900,3,70, IZON,188680
851,maison,2000,5,162, MARSAS,232140
852,maison,5,3,254, BLASIMON,304500
853,appartement,2021,3,66, PESSAC,304000
854,appartement,2019,3,66, PESSAC,304000
855,appartement,2019,4,101, PESSAC,485000
856,maison,2019,4,90, PESSAC,433000
857,maison,2003,4,51, SOULAC SUR MER,125000
858,maison,2010,4,92, LEGE CAP FERRET,339900
859,appartement,2,1,40, LANTON,179000
860,appartement,2,1,55, LORMONT,200000
861,maison,2014,4,102, ORDONNAC,244100
862,maison,6,4,161, PAREMPUYRE,402000
863,maison,6,4,285, BOURG,345000
864,appartement,3,2,68, GUJAN MESTRAS,340000
865,appartement,3,2,65, ARCACHON,485000
866,appartement,4,3,137, LE BOUSCAT,960000
867,maison,4,3,125, EYSINES,579000
868,maison,4,3,133, BEGLES,475500
869,appartement,4,3,74, LIBOURNE,93500
870,maison,5,4,90, ARCACHON,761000
871,maison,2005,5,170, LE BARP,435000
872,maison,5,3,120, SALLES,317000
873,maison,1975,5,98, MACAU,267500
874,maison,1983,6,110, GUITRES,215000
875,maison,4,2,114, ROMAGNE,139000
876,maison,4,2,100, ST PEY DE CASTETS,164000
877,appartement,3,2,49, BORDEAUX,259500
878,maison,1979,4,70, VAYRES,295400
879,maison,1890,5,120, BORDEAUX,480700
880,maison,1250,7,300, BARSAC,470000
881,appartement,1850,3,104, BORDEAUX,587100
882,maison,6,4,134, FLOIRAC,312500
883,maison,1998,5,180, NAUJAC SUR MER,357000
884,maison,1995,10,478, ARTIGUES PRES BORDEAUX,936000
885,appartement,2,1,50, LANTON,198000
886,maison,7,4,230, ST EMILION,297000
887,maison,1850,11,320, LIBOURNE,950000
888,appartement,3,2,90, BORDEAUX,416000
889,appartement,2017,3,60, LA TESTE DE BUCH,270000
890,appartement,2020,4,83, MERIGNAC,352000
891,appartement,2021,5,110, LE BOUSCAT,710000
892,appartement,2020,4,82, BORDEAUX,414875
893,maison,1956,5,135, MERIGNAC,530000
894,appartement,2,1,37, BORDEAUX,176000
895,appartement,3,2,59, ST MEDARD EN JALLES,242000
896,maison,4,3,110, LACANAU,449000
897,maison,5,3,110, LE TAILLAN MEDOC,438500
898,maison,5,3,117, LE HAILLAN,459500
899,maison,4,3,83, LIBOURNE,153000
900,maison,5,3,165, BLANQUEFORT,524000
901,maison,4,2,76, CARCANS,249200
902,maison,1972,6,116, SABLONS,123000
903,appartement,2010,1,22, MERIGNAC,79500
904,appartement,2010,1,22, MERIGNAC,79500
905,appartement,2,1,46, FLOIRAC,197485
906,maison,1990,7,147, LE TAILLAN MEDOC,499000
907,appartement,1800,4,120, BORDEAUX,699900
908,maison,4,3,92, ST MEDARD EN JALLES,315000
909,appartement,2,1,47, RIONS,76680
910,appartement,3,1,52, RIONS,84240
911,appartement,2,1,46, RIONS,74520
912,appartement,2,1,46, RIONS,74520
913,appartement,2,1,28, RIONS,61700
914,maison,8,6,190, VILLANDRAUT,242000
915,maison,11,6,250, ARTIGUES PRES BORDEAUX,630000
916,maison,8,4,163, FARGUES ST HILAIRE,539000
917,maison,10,7,260, CARIGNAN DE BORDEAUX,735000
918,maison,4,2,93, PREIGNAC,165000
919,maison,4,2,90, BEGLES,315000
920,maison,5,3,145, TARGON,315000
921,maison,8,5,150, LANGOIRAN,135000
922,maison,1900,4,112, BELVES DE CASTILLON,119000
923,maison,1980,3,31, LACANAU OCEAN                   ,220000
924,maison,1996,3,85, LANTON,383000
925,appartement,1850,5,124, BORDEAUX,550000
926,appartement,1800,4,76, BORDEAUX,447200
927,appartement,1900,3,51, BORDEAUX,256000
928,appartement,1900,3,62, BORDEAUX,291200
929,appartement,2000,3,53, BORDEAUX,224600
930,appartement,1850,3,77, BORDEAUX,466900
931,appartement,1990,3,63, BORDEAUX,245500
932,appartement,1900,3,65, BORDEAUX,242400
933,maison,8,4,195, ST LOUBES,673500
934,maison,1970,5,116, CABARA,198000
935,maison,1999,6,103, SALLES,314200
936,appartement,2018,4,86, BORDEAUX,487000
937,maison,1956,4,75, AMBES,160000
938,maison,1900,5,142, SALIGNAC,158000
939,maison,1900,1,265, SALIGNAC,130000
940,maison,1900,7,245, COUTRAS,361000
941,maison,9,5,295, ST EMILION,504000
942,maison,1973,10,138, LIBOURNE,244000
943,maison,8,6,220, ST AUBIN DE MEDOC,676000
944,maison,1900,6,150, LA TESTE DE BUCH,1490000
945,maison,1948,11,264, CADAUJAC,442000
946,maison,5,4,150, LA TESTE DE BUCH,1490000
947,maison,1980,6,218, SOULAC SUR MER,436800
948,maison,1970,12,225, STE EULALIE,482000
949,maison,4,3,107, ST CHRISTOPHE DE DOUBLE,130000
950,appartement,2011,3,62, BRUGES,192000
951,maison,1900,10,180, BORDEAUX,798000
952,maison,2005,6,220, HOSTENS,665000
953,maison,1900,8,350, BLAYE,368000
954,appartement,3,2,63, LE VERDON SUR MER,76600
955,maison,6,4,183, BAZAS,298000
956,maison,2006,7,154, ST PIERRE DE MONS,317170
957,maison,1930,4,85, LANTON,323000
958,maison,9,6,400, LIBOURNE,777000
959,maison,1997,5,140, GUJAN MESTRAS,575000
960,maison,4,3,85, ST ANDRE DE CUBZAC,180000
961,appartement,1900,2,52, BORDEAUX,232000
962,appartement,4,3,87, MERIGNAC,346000
963,maison,1830,4,102, LA TESTE DE BUCH,190800
964,appartement,2,1,41, LANGON,77229
965,appartement,2022,3,56, AUDENGE,197500
966,maison,6,3,150, LIBOURNE,599500
967,appartement,1,1,33, PESSAC,160500
968,appartement,4,3,84, PESSAC,216300
969,maison,1976,5,116, GRADIGNAN,379000
970,maison,1900,10,290, BORDEAUX,1670000
971,maison,1991,4,100, GUJAN MESTRAS,300000
972,maison,2009,5,115, LANGON,275000
973,maison,1975,3,62, LEGE CAP FERRET,281988
974,maison,1970,4,97, ARES,281000
975,maison,4,3,106, PUGNAC,168000
976,maison,6,4,190, BERSON,137800
977,maison,4,3,106, MOMBRIER,168000
978,appartement,3,2,54, MERIGNAC,223500
979,appartement,2,1,34, MERIGNAC,160500
980,appartement,2,1,34, MERIGNAC,160500
981,maison,5,4,210, PRECHAC,421500
982,maison,7,5,205, BARSAC,444000
983,appartement,2,1,49, BORDEAUX,236000
984,maison,10,6,318, BORDEAUX,1365000
985,appartement,1989,4,83, BORDEAUX,324000
986,appartement,2006,2,45, CARBON BLANC,154000
987,maison,2017,4,85, LA TESTE DE BUCH,388500
988,maison,2003,4,100, PAREMPUYRE,242000
989,maison,6,4,150, MERIGNAC,527500
990,appartement,3,2,65, TALENCE,226000
991,maison,4,3,91, GUJAN MESTRAS,422500
992,maison,1972,5,110, GUJAN MESTRAS,418000
993,appartement,1992,3,65, ARCACHON,485000
994,maison,8,5,300, STE HELENE,490000
995,maison,1970,6,135, PODENSAC,305000
996,maison,12,9,400, ST MEDARD DE GUIZIERES,280000
997,maison,1300,11,432, BORDEAUX,549000
998,maison,1965,4,89, AMBARES ET LAGRAVE,340000
999,maison,1979,5,112, AMBARES ET LAGRAVE,233200
1000,maison,5,3,119, AMBARES ET LAGRAVE,388240
1001,maison,1900,6,350, LIBOURNE,690000
1002,appartement,1994,2,32, BORDEAUX,150500
1003,maison,5,3,115, PUGNAC,178500
1004,maison,5,3,115, BLAYE,178500
1005,appartement,2019,3,63, VILLENAVE D ORNON,240000
1006,maison,2002,5,89, CAZAUX                          ,332000
1007,maison,2000,7,195, BORDEAUX,870000
1008,maison,2009,6,250, LE TAILLAN MEDOC,704600
1009,maison,1968,6,297, FARGUES ST HILAIRE,730000
1010,appartement,1,1,26, SOULAC SUR MER,103000
1011,appartement,2,1,51, BORDEAUX,72000
1012,maison,1850,3,55, ST MACAIRE,112000
1013,maison,5,3,135, BLANQUEFORT,381000
1014,appartement,5,3,182, ARCACHON,1995950
1015,appartement,1,1,26, TALENCE,164000
1016,appartement,4,2,67, BORDEAUX,220000
1017,maison,5,3,120, BELVES DE CASTILLON,379000
1018,appartement,1970,3,74, BORDEAUX,241500
1019,maison,1980,6,200, LANGON,418000
1020,maison,6,5,209, ST MARTIAL,395000
1021,appartement,2008,2,43, MERIGNAC,170000
1022,appartement,3,2,63, VILLENAVE D ORNON,264500
1023,appartement,2,1,53, BRUGES,172000
1024,maison,5,4,120, BELIN BELIET,290000
1025,maison,1800,1,140, ST SULPICE ET CAMEYRAC,136500
1026,maison,1900,11,350, ST EMILION,399000
1027,maison,7,4,200, LIBOURNE,410000
1028,maison,8,5,240, LIBOURNE,649000
1029,maison,1880,5,140, BOURG,197000
1030,maison,2016,6,150, CARBON BLANC,318000
1031,maison,1959,8,225, BORDEAUX,997500
1032,maison,9,6,220, ANDERNOS LES BAINS,892500
1033,maison,10,5,370, CREON,682500
1034,maison,1982,6,130, MERIGNAC,620000
1035,maison,7,5,300, ARCACHON,2700000
1036,maison,1800,6,210, LIBOURNE,294000
1037,maison,1850,6,240, ST EMILION,575000
1038,maison,1958,6,150, BORDEAUX,295000
1039,maison,1975,4,117, AMBARES ET LAGRAVE,257000
1040,maison,14,7,310, LIBOURNE,745000
1041,maison,7,4,205, ANDERNOS LES BAINS,1139000
1042,appartement,2019,2,45, BORDEAUX,230000
1043,appartement,3,2,88, ARCACHON,1044750
1044,maison,5,3,210, CUDOS,528000
1045,maison,1999,8,220, LIBOURNE,680000
1046,appartement,1970,3,75, BORDEAUX,270000
1047,appartement,1970,3,65, TALENCE,210000
1048,maison,12,6,500, BORDEAUX,1680000
1049,appartement,2019,3,68, LA TESTE DE BUCH,348000
1050,appartement,2019,4,90, LA TESTE DE BUCH,425000
1051,appartement,2019,2,44, LA TESTE DE BUCH,201000
1052,maison,1900,5,240, SABLONS,335000
1053,maison,1960,5,125, VILLENAVE D ORNON,499000
1054,maison,1900,11,300, BORDEAUX,1842000
1055,maison,1800,11,500, BARSAC,560000
1056,maison,4,4,145, LANGON,212000
1057,maison,1956,4,83, LA TESTE DE BUCH,380000
1058,appartement,2022,2,46, BIGANOS,189600
1059,appartement,2020,4,83, BEGLES,435000
1060,maison,20,10,540, ST CHRISTOLY DE BLAYE,420000
1061,maison,20,10,540, PUGNAC,420000
1062,maison,8,5,320, PRIGNAC ET MARCAMPS,694900
1063,maison,8,5,320, ST ANDRE DE CUBZAC,694900
1064,appartement,2,1,72, BORDEAUX,346400
1065,appartement,3,2,64, BORDEAUX,276000
1066,maison,3,2,71, LA TESTE DE BUCH,291500
1067,maison,3,2,50, TALENCE,297000
1068,maison,5,4,120, TALENCE,522500
1069,maison,9,6,345, ST SEURIN SUR L ISLE,423000
1070,appartement,1965,5,97, MERIGNAC,305000
1071,maison,4,3,130, MONTAGNE,295000
1072,maison,2017,5,140, BORDEAUX,436800
1073,maison,1990,5,132, GUJAN MESTRAS,525000
1074,maison,10,8,372, LIBOURNE,449500
1075,maison,6,4,189, MERIGNAC,651000
1076,maison,1930,6,135, TALENCE,599000
1077,maison,2000,4,111, TALAIS,269600
1078,maison,1850,6,143, LANGON,212000
1079,maison,5,3,131, BLAYE,162750
1080,maison,5,3,120, PUGNAC,267750
1081,maison,1909,7,129, ANGLADE,178500
1082,appartement,4,3,80, BORDEAUX,549500
1083,appartement,3,2,62, LESPARRE MEDOC,81000
1084,maison,5,3,109, ST LAURENT DES COMBES,192000
1085,maison,9,5,322, LIBOURNE,507000
1086,maison,9,7,220, BORDEAUX,1200000
1087,maison,4,3,91, LA LANDE DE FRONSAC,222000
1088,appartement,3,2,64, MARCHEPRIME,202500
1089,maison,1985,5,115, LE BARP,355000
1090,appartement,2,1,51, ARCACHON,241500
1091,maison,1870,8,210, BORDEAUX,945000
1092,maison,7,4,237, VILLANDRAUT,170000
1093,maison,4,3,85, BERSON,170500
1094,appartement,4,3,60, LE TEICH,149500
1095,maison,6,4,112, AUDENGE,330750
1096,maison,5,3,121, FARGUES ST HILAIRE,599500
1097,maison,1732,9,304, LUGASSON,399500
1098,appartement,2004,3,69, BORDEAUX,344800
1099,appartement,2,1,46, RIONS,75600
1100,maison,6,4,146, POMPIGNAC,384000
1101,maison,3,1,60, BONNETAN,185000
1102,maison,5,3,150, STE TERRE,175000
1103,appartement,3,2,60, ST SEURIN SUR L ISLE,100000
1104,appartement,2,1,76, BORDEAUX,275000
1105,maison,6,4,143, LEOGNAN,350000
1106,appartement,4,3,107, ARCACHON,859000
1107,appartement,3,2,70, ARCACHON,579000
1108,appartement,3,2,83, ARCACHON,639000
1109,maison,1930,6,152, BORDEAUX,638000
1110,appartement,2,1,41, GIRONDE SUR DROPT,72525
1111,maison,5,3,142, BLAYE,272000
1112,maison,5,3,147, BOURG,137800
1113,maison,5,3,142, ST GIRONS D AIGUEVIVES,272000
1114,maison,5,3,142, CARS,272000
1115,maison,5,3,110, ST EMILION,465000
1116,maison,9,5,491, LIBOURNE,940000
1117,maison,7,4,319, LATRESNE,1152250
1118,appartement,2,1,35, ARCACHON,265500
1119,maison,1974,5,160, ARCACHON,2205000
1120,maison,1982,5,160, ARES,530000
1121,maison,1960,3,64, AUDENGE,254400
1122,maison,1900,8,280, LIBOURNE,499000
1123,maison,6,4,120, ST MAGNE DE CASTILLON,175500
1124,maison,1975,8,206, LA TESTE DE BUCH,470000
1125,maison,2003,5,135, LACANAU OCEAN                   ,675000
1126,appartement,2020,4,81, BRUGES,323000
1127,appartement,2020,4,83, LE BOUSCAT,509000
1128,appartement,3,2,47, CARCANS,139900
1129,maison,1963,5,120, ARCACHON,1295000
1130,appartement,1975,4,115, ARCACHON,840000
1131,maison,1900,6,160, CADILLAC,122925
1132,appartement,2009,2,47, ARES,169600
1133,appartement,4,3,75, LIBOURNE,147900
1134,maison,5,3,100, BORDEAUX,381000
1135,maison,2,1,195, LIBOURNE,298000
1136,maison,2001,5,133, GRAYAN ET L HOPITAL,349000
1137,maison,4,3,113, PESSAC,450000
1138,maison,1900,7,280, BORDEAUX,985000
1139,maison,8,5,280, HOURTIN,940500
1140,maison,1895,9,256, LANTON,1190000
1141,maison,1996,6,144, GUJAN MESTRAS,65000
1142,maison,12,6,360, ST ANDRE DE CUBZAC,890000
1143,maison,1850,5,104, ST MACAIRE,238000
1144,appartement,2012,3,70, SOULAC SUR MER,189000
1145,appartement,2008,2,32, ARCACHON,259700
1146,maison,3,2,44, SOULAC SUR MER,114500
1147,maison,6,4,238, LANGON,579000
1148,maison,5,3,92, MERIGNAC,359500
1149,maison,6,5,140, ST LAURENT D ARCE,202500
1150,maison,1990,5,134, GUJAN MESTRAS,627500
1151,maison,1990,5,134, GUJAN MESTRAS,640000
1152,appartement,2018,3,65, CENON,215000
1153,maison,1850,6,143, ST GERMAIN D ESTEUIL,240000
1154,maison,7,6,310, LES PEINTURES,395000
1155,maison,1900,11,240, BAZAS,233200
1156,maison,1900,2,38, LIBOURNE,133000
1157,maison,1889,12,353, MARGAUX,870000
1158,appartement,1980,2,28, LACANAU OCEAN                   ,96000
1159,maison,1980,5,96, ST YZAN DE SOUDIAC,196000
1160,maison,1900,10,211, BOURG,575000
1161,maison,10,6,446, ST ANDRE DE CUBZAC,577500
1162,appartement,4,3,95, BORDEAUX,564500
1163,maison,5,3,119, RAUZAN,129000
1164,maison,4,3,98, COUTRAS,202500
1165,maison,6,3,220, LUDON MEDOC,670800
1166,maison,5,3,101, FLOIRAC,289500
1167,maison,1981,5,125, JAU DIGNAC ET LOIRAC,227000
1168,maison,5,1,270, ST EMILION,1390000
1169,maison,5,1,270, ST EMILION,1390000
1170,maison,5,2,115, PUJOLS,110500
1171,maison,4,3,113, VILLENAVE D ORNON,386800
1172,appartement,2003,2,62, GUJAN MESTRAS,262000
1173,maison,10,9,270, LOUPIAC,595000
1174,appartement,1980,3,47, ANDERNOS LES BAINS,237000
1175,maison,4,3,92, LA TESTE DE BUCH,425000
1176,maison,5,3,130, QUINSAC,367000
1177,appartement,1850,2,40, BORDEAUX,302000
1178,maison,2005,3,73, ST MEDARD DE GUIZIERES,119000
1179,maison,1996,7,178, PESSAC,634400
1180,appartement,1900,3,96, BORDEAUX,685000
1181,maison,1900,3,128, ST ANDRE DE CUBZAC,105000
1182,maison,4,3,104, ARES,395200
1183,maison,5,3,175, ST EMILION,328500
1184,appartement,3,2,68, BORDEAUX,312500
1185,maison,1900,3,128, BOURG,105000
