id,type_de_bien,année,nb_de_pieces,surface,ville,prix
153,appartement,1900,3,71, BORDEAUX,379600
154,appartement,1970,3,60, ARCACHON,180000
155,maison,1900,8,377, ETAULIERS,184000
156,maison,1900,8,220, ST EMILION,237000
157,maison,2008,7,350, GUJAN MESTRAS,2650000
158,appartement,3,2,58, BORDEAUX,329000
159,maison,10,5,369, LIBOURNE,1050000
160,maison,3,2,116, ST LOUBES,238500
161,maison,4,1,60, AMBARES ET LAGRAVE,180000
162,maison,5,3,151, FLOIRAC,714000
163,appartement,3,2,67, BORDEAUX,325000
164,appartement,1980,3,46, GRADIGNAN,192500
165,maison,1900,4,142, ST PHILIPPE D AIGUILLE,196000
166,appartement,1900,3,85, BORDEAUX,480000
167,maison,12,6,360, ST ANDRE DE CUBZAC,890000
168,maison,2,2,66, ARTIGUES PRES BORDEAUX,239000
169,maison,1900,7,170, CERONS,265000
170,maison,1900,8,430, LANGOIRAN,885000
171,maison,1986,4,120, PETIT PALAIS ET CORNEMPS,305000
172,maison,1900,6,220, BORDEAUX,1280000
173,maison,8,4,280, STE EULALIE,578000
174,maison,10,3,600, STE EULALIE,1350000
175,appartement,2021,4,88, BORDEAUX,409000
176,appartement,3,2,65, BORDEAUX,369000
177,maison,9,4,300, BORDEAUX,670000
178,maison,1985,5,95, TALENCE,379000
179,appartement,1900,2,44, BORDEAUX,268000
180,maison,11,6,520, LE BOUSCAT,2987000
181,maison,1959,5,120, PESSAC,410000
182,maison,6,3,174, BLAYE,286500
183,maison,7,5,187, BLASIMON,233500
184,appartement,2019,3,70, VILLENAVE D ORNON,250000
185,maison,9,6,260, ST MEDARD EN JALLES,850000
186,maison,6,4,160, CESTAS,651000
187,maison,5,3,200, BRANNE,485000
188,maison,5,4,119, LIBOURNE,255000
189,maison,4,3,100, LA TESTE DE BUCH,538000
190,maison,5,3,118, MIOS,354500
191,appartement,2,1,38, LIBOURNE,90000
192,maison,1900,5,144, LIBOURNE,313000
193,appartement,1,2,18, CENON,57000
194,appartement,2,1,41, LIBOURNE,99000
195,maison,2002,4,72, CASTILLON LA BATAILLE,104000
196,maison,6,4,215, POMPIGNAC,750000
197,maison,2002,6,130, CERONS,370000
198,maison,1965,2,37, ARES,150000
199,maison,12,5,450, STE EULALIE,788000
200,maison,6,3,141, BLAYE,175500
201,maison,5,3,90, BLAYE,138499
202,appartement,2,1,43, ST CAPRAIS DE BORDEAUX,107500
203,appartement,4,3,113, BORDEAUX,453000
204,maison,4,3,135, ARTIGUES PRES BORDEAUX,349500
205,maison,1789,7,291, LIBOURNE,465000
206,maison,8,5,150, CESTAS,546000
207,appartement,3,2,71, ARCACHON,892500
208,appartement,4,2,90, BORDEAUX,552500
209,maison,1975,3,70, ST MAGNE DE CASTILLON,140000
210,maison,1930,3,65, CASTILLON LA BATAILLE,65000
211,maison,1960,5,90, BEGLES,398000
212,maison,1980,6,132, LANGON,243000
213,appartement,3,2,58, LANTON,237000
214,appartement,5,4,158, BORDEAUX,577500
215,maison,4,3,102, CESTAS,354500
216,maison,9,5,362, CEZAC,528000
217,appartement,2,1,44, ARCACHON,318000
218,maison,4,2,95, BORDEAUX,402000
219,appartement,2,1,47, BEGLES,195000
220,maison,8,6,200, COUTRAS,234000
221,maison,6,3,123, LA TESTE DE BUCH,682500
222,maison,7,6,200, ARCACHON,1500000
223,maison,1970,4,130, ARCACHON,860000
224,maison,1900,2,40, BORDEAUX,257000
225,appartement,4,3,82, PESSAC,365000
226,maison,5,4,130, SAUTERNES,299000
227,maison,1981,5,147, LEGE CAP FERRET,577500
228,maison,1907,1,146, AUDENGE,357000
229,maison,2009,4,78, PORTETS,219350
230,appartement,2019,4,97, BRUGES,350000
231,maison,12,8,300, LANGON,448000
232,appartement,2018,4,89, ARCACHON,430000
233,appartement,2018,3,62, ARCACHON,295000
234,appartement,1990,4,107, BORDEAUX,649000
235,appartement,1990,5,125, BORDEAUX,649000
236,maison,7,5,198, LACANAU,589500
237,appartement,7,3,184, ARCACHON,1672000
238,maison,5,4,124, TALENCE,620000
239,appartement,4,2,79, BORDEAUX,400000
240,maison,4,3,130, CHAMADELLE,198000
241,maison,1960,6,120, GUITRES,113000
242,maison,5,3,115, MONTUSSAN,373000
243,appartement,2004,3,76, BORDEAUX,292000
244,maison,2012,3,74, LACANAU,220000
245,maison,10,4,270, BORDEAUX,1099000
246,appartement,6,3,270, BORDEAUX,1979000
247,maison,3,2,75, LA TESTE DE BUCH,352000
248,appartement,1949,3,70, BORDEAUX,555000
249,appartement,2,1,45, BORDEAUX,225000
250,appartement,3,2,46, BORDEAUX,239000
251,appartement,3,2,77, BORDEAUX,329000
252,appartement,3,2,52, LIBOURNE,125000
253,maison,2009,4,90, FRONSAC,200000
254,maison,8,4,310, LA REOLE,360000
255,maison,4,3,78, SALLEBOEUF,223500
256,maison,5,4,125, BIGANOS,386000
